treatment,population,time_from_treatment_start,responders_n,non_responders_n,responders_mean,non_responders_mean,mann_whitney_u,p_value,q_value_fdr_bh,significant_at_q0.05
miraclib,b_cell,0,331,325,10.086767767371601,9.774166135384615,55244.0,0.5485408675112389,0.8088791339406574,False
miraclib,b_cell,7,331,325,9.745962311178248,10.108059935384615,50240.0,0.14386477481769383,0.4315943244530815,False
miraclib,b_cell,14,331,325,9.559927770392749,10.106733107692307,47849.0,0.014414435042203693,0.2162165256330554,False
miraclib,cd8_t_cell,0,331,325,24.817742779456196,25.000818255384615,52203.0,0.5139556861462278,0.8088791339406574,False
miraclib,cd8_t_cell,7,331,325,24.79904549244713,24.9019036,52644.0,0.637658094967041,0.8088791339406574,False
miraclib,cd8_t_cell,14,331,325,25.02900653172205,24.929051233846153,54591.0,0.7407366897157915,0.8533388496175622,False
miraclib,cd4_t_cell,0,331,325,29.97502716012085,29.830396698461545,54414.0,0.7964495929763914,0.8533388496175622,False
miraclib,cd4_t_cell,7,331,325,30.74690002114804,29.71776532615385,59064.0,0.02970607205457185,0.22279554040928887,False
miraclib,cd4_t_cell,14,331,325,30.891497803625374,30.158623366153847,58102.0,0.07547067704462711,0.3773533852231355,False
miraclib,nk_cell,0,331,325,15.219501299093658,15.171309313846155,53437.0,0.8853281081905569,0.8853281081905569,False
miraclib,nk_cell,7,331,325,14.657068199395772,15.08775111076923,50185.0,0.13775265937433018,0.4315943244530815,False
miraclib,nk_cell,14,331,325,14.646263332326285,14.96043820923077,51347.0,0.3147007071269343,0.674358658129145,False
miraclib,monocyte,0,331,325,19.900960996978853,20.22330961230769,50754.0,0.21138928177193006,0.5284732044298251,False
miraclib,monocyte,7,331,325,20.051023942598192,20.184520107692308,52089.0,0.48413674295382414,0.8088791339406574,False
miraclib,monocyte,14,331,325,19.87330459818731,19.845154147692305,52676.0,0.6471033071525258,0.8088791339406574,False
phauximab,b_cell,0,313,278,9.853781833865815,10.069322438848921,41168.0,0.259030932475834,0.39191716719337816,False
phauximab,b_cell,7,313,278,9.219170450479233,10.039632866906475,36436.0,0.0006434641945927533,0.00482598145944565,True
phauximab,b_cell,14,313,278,9.39893273801917,10.091858068345324,37658.0,0.00476066564111717,0.02380332820558585,True
phauximab,cd8_t_cell,0,313,278,24.518337194888176,25.283311708633093,39703.0,0.06639145802229288,0.1659786450557322,False
phauximab,cd8_t_cell,7,313,278,25.16107589456869,25.225404539568345,41938.0,0.44902495985696234,0.561281199821203,False
phauximab,cd8_t_cell,14,313,278,24.5008747827476,25.2441634028777,39584.0,0.058330315809195954,0.1659786450557322,False
phauximab,cd4_t_cell,0,313,278,30.583511140575077,29.903006557553958,46859.0,0.10574618780702162,0.2265989738721892,False
phauximab,cd4_t_cell,7,313,278,30.731934712460063,29.75711979496403,49090.0,0.0070513034833899315,0.026442388062712242,True
phauximab,cd4_t_cell,14,313,278,31.51253080191693,29.782465035971228,52199.0,2.7289516833178643e-05,0.00040934275249767966,True
phauximab,nk_cell,0,313,278,14.945732249201276,14.826459924460432,42355.0,0.5783645572847151,0.6196763113764805,False
phauximab,nk_cell,7,313,278,14.559322984025556,14.799020183453237,41565.0,0.3487219264893614,0.47552989975822013,False
phauximab,nk_cell,14,313,278,14.567434814696487,15.027982640287771,40305.0,0.12229444475788127,0.22930208392102738,False
phauximab,monocyte,0,313,278,20.098637565495206,19.91789939208633,44732.0,0.5545144837572465,0.6196763113764805,False
phauximab,monocyte,7,313,278,20.328495993610225,20.178822615107915,44290.0,0.7056711945485213,0.7056711945485213,False
phauximab,monocyte,14,313,278,20.020226853035144,19.853530856115107,45835.0,0.2612781114622521,0.39191716719337816,False
