population,treatment,response,time_from_treatment_start,mean_percentage,sem,n,ci_low,ci_high
b_cell,miraclib,no,0,9.774166135384615,0.16508734946339101,325,9.450594930436369,10.097737340332861
b_cell,miraclib,no,7,10.108059935384615,0.17809936554114794,325,9.758985178923965,10.457134691845265
b_cell,miraclib,no,14,10.106733107692307,0.17522492543302856,325,9.76329225384357,10.450173961541044
b_cell,miraclib,yes,0,10.086767767371601,0.18769060338288085,331,9.718894184741155,10.454641350002047
b_cell,miraclib,yes,7,9.745962311178248,0.17701074889487248,331,9.399021243344299,10.092903379012197
b_cell,miraclib,yes,14,9.559927770392749,0.18238230249633527,331,9.202458457499931,9.917397083285566
b_cell,phauximab,no,0,10.069322438848921,0.19628917815315908,278,9.68459564966873,10.454049228029113
b_cell,phauximab,no,7,10.039632866906475,0.1740518931324954,278,9.698491156366783,10.380774577446166
b_cell,phauximab,no,14,10.091858068345324,0.18408925250893926,278,9.731043133427804,10.452673003262845
b_cell,phauximab,yes,0,9.853781833865815,0.18868763079248146,313,9.483954077512552,10.223609590219079
b_cell,phauximab,yes,7,9.219170450479233,0.16706061159158692,313,8.891731651759722,9.546609249198744
b_cell,phauximab,yes,14,9.398932738019168,0.1817019007914359,313,9.042797012467954,9.755068463570382
cd4_t_cell,miraclib,no,0,29.830396698461538,0.25164404472527274,325,29.337174370800003,30.323619026123072
cd4_t_cell,miraclib,no,7,29.717765326153845,0.2757728297764544,325,29.177250579791995,30.258280072515696
cd4_t_cell,miraclib,no,14,30.158623366153847,0.2748448562755564,325,29.619927447853758,30.697319284453936
cd4_t_cell,miraclib,yes,0,29.97502716012085,0.29358235690686574,331,29.399605740583393,30.550448579658305
cd4_t_cell,miraclib,yes,7,30.746900021148036,0.28722151702126025,331,30.183945847786365,31.309854194509708
cd4_t_cell,miraclib,yes,14,30.89149780362538,0.2759110497308715,331,30.350712146152873,31.43228346109789
cd4_t_cell,phauximab,no,0,29.903006557553958,0.2785935585771057,278,29.35696318274283,30.449049932365085
cd4_t_cell,phauximab,no,7,29.75711979496403,0.28394469724104887,278,29.200588188371576,30.313651401556484
cd4_t_cell,phauximab,no,14,29.78246503597122,0.28271787809574417,278,29.228337994903562,30.33659207703888
cd4_t_cell,phauximab,yes,0,30.58351114057508,0.282477380098994,313,30.02985547558105,31.13716680556911
cd4_t_cell,phauximab,yes,7,30.731934712460063,0.277072321672452,313,30.188872961982057,31.27499646293807
cd4_t_cell,phauximab,yes,14,31.512530801916935,0.2809338395332068,313,30.96190047643185,32.06316112740202
cd8_t_cell,miraclib,no,0,25.000818255384615,0.23850576959931583,325,24.533346946969957,25.468289563799274
cd8_t_cell,miraclib,no,7,24.9019036,0.2338235826439768,325,24.443609378017808,25.360197821982194
cd8_t_cell,miraclib,no,14,24.929051233846153,0.26250524804316044,325,24.41454094768156,25.443561520010746
cd8_t_cell,miraclib,yes,0,24.817742779456196,0.2808244116003342,331,24.26732693271954,25.36815862619285
cd8_t_cell,miraclib,yes,7,24.79904549244713,0.2667835001811255,331,24.276149832092127,25.321941152802136
cd8_t_cell,miraclib,yes,14,25.029006531722057,0.2630760913930587,331,24.51337739259166,25.544635670852454
cd8_t_cell,phauximab,no,0,25.283311708633093,0.27261611599752467,278,24.748984121277946,25.81763929598824
cd8_t_cell,phauximab,no,7,25.225404539568345,0.2419394806014731,278,24.751203157589458,25.69960592154723
cd8_t_cell,phauximab,no,14,25.2441634028777,0.2826245069663887,278,24.690219369223577,25.798107436531822
cd8_t_cell,phauximab,yes,0,24.51833719488818,0.27251199787149555,313,23.984213679060048,25.05246071071631
cd8_t_cell,phauximab,yes,7,25.16107589456869,0.2830615514806252,313,24.606275253666663,25.715876535470716
cd8_t_cell,phauximab,yes,14,24.5008747827476,0.2443857174092268,313,24.021878776625517,24.979870788869686
monocyte,miraclib,no,0,20.22330961230769,0.21278463074161727,325,19.806251736054122,20.64036748856126
